
Single datacenter : one node  

[root@cassandra01 conf]# nodetool ring

Datacenter: datacenter1
==========
Address      Rack        Status State   Load            Owns                Token
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1294179217732275331
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1266893676788612024
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1208033670849588392
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1030372056510742679
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1018052096785222134
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -979334767241806787
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -774477199982709258
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -666737701756373362
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -651622322968143388
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -568376274791483952
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -539810272885385884
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -209625441481130939
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -178669348656931722
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -162610865399161844
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             15998294814367856
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             125306542558439997
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             369348032943350608
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             449576448262322956
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             463158253046500756
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             505769730120340412
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             650952978643985579
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             694659823016948137
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1056778577306645694
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1057841693250799249
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1094934869445427332
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1257299601526481217
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1345363383019224585
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1360702831089555298
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1446336050175800969
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1514364886913343983
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1666668142001284361
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1780106887465368767
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             1824791225906973095
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2001298560757967983
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2025074429969441848
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2046256470361757302
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2071674108768569752
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2129505208990516911
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2218738086761799550
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2245744757538847724
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2267800073682897098
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2326533605221495371
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2385227943124549449
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2431632961611166096
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2451168424560009405
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2487000204017193030
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2502040156412291339
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2674833604195155043
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2761984996528920454
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2771384759894259541
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2928259933667665302
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             2958794256720483031
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3056201905447760989
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3141144314826174471
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3188868361899143879
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3213930361144478173
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3234194467418422377
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3326208643533784947
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3362049980511479440
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3616371835318716218
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3617774905334151690
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3666627613695771404
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             3829103406745954070
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4048604920243623802
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4119426474446778329
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4226440723668978835
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4227780096830068417
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4273091029595578989
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4330111690034322348
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4393713031096112012
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4422475049786761435
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4478621761325895116
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4480582981354685718
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4482306685455667693
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4513961742212131583
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4711014459075594742
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4871650324969517479
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4936376025157818400
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             4957010086543496875
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5013215930247400271
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5090952295175678757
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5109216091141445249
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5122115412421971551
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5136348506262538211
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5212274307124802693
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5273796043687295803
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5377555810063077669
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5408005650654662795
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5472783681033756186
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5504533351102562309
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5537150850030842664
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5652132665183796246
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5673008475105665077
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5681932409112447515
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5839085809390199204
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5840996078810482563
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5874574167892824409
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5900869557559045914
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5908503433291746614
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             5936586419262056066
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6202957212484895521
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6210954728582059166
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6334824879925700610
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6337160680426759829
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6339804637771260121
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6397077549252904765
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6413073641589843253
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6607548180355540905
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6674229738358293223
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6763863986765318338
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6789589039260783719
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             6797325030853574838
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7028034731987026028
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7047370534790777018
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7110585671643708662
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7171669284016363735
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7340086000298623615
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7372956830500469706
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7426577169577957243
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7434215172299988786
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7521823117032473747
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7572432339105597654
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7604798078413781808
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             7664093516036243131
